,beername,beer type,category,Aroma,Flavor,Balance,Food,Body,rating,evaluating num
0,Goose Island Goose IPA,IPA,IPA - English,"['과일향', '자몽향', '오렌지향', '시트러스향']","['깔끔한 맥아 풍미', '깔끔함', '청량함', '쌉쌀한 끝맛', '강렬함']","['미디엄', '청량함', '쌉쌀한 끝맛', '크리미']","['여러 광범위한 음식', '햄버거', '체다 치즈', '스테이크', '감자튀김', '샌드위치', '어니언링', '나쵸', '퀘사디아']","['청량함', '드라이']",3.525184924,2888
1,Goose Island 312 Urban Wheat Ale,Wheat Ale,Pale - America,"['꽃향', '풀향', '레몬향', '레몬그래스향', '바나나향']","['홉 향 다수', '깔끔한 맥아 풍미', '부드럽고 크리미한', '프루티 에일']","['크리미', '부드러움', '미디엄', '크리스피']","['여러 광범위한 음식', '튀김류', '한국 음식', '샐러드', '폭립', '크리스피 치킨', '피자']","['미디움', '가벼움', '크리미']",2.829070392,1877
2,Edelweiss Weissbier Hefetrub,Weissbier - Hefeweizen,Wheat Beer - Austria,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이']",3.286197183,717
3,Somersby Apple Cider,Apple Cider,Apple cider - Denmark,"['과일향', '청사과향', '사과주스향', '사이다향']","['단맛', '사과맛 탄산음료', '사과주스', '맥아 없음']","['부드러움', '크리스피', '독특함', '스파클링']","['닭고기 요리', '해산물', '피자', '샐러드']","['청량함', '라이트']",2.261442006,320
4,Apple Fox,Apple Cider,Apple cider - Singapore,"['과일향', '청사과향', '사과주스향', '사이다향']","['단맛', '사과맛 탄산음료', '사과주스', '맥아 없음']","['부드러움', '크리스피', '독특함', '스파클링']","['닭고기 요리', '해산물', '피자', '샐러드']","['청량함', '라이트']",2.5,4
5,Desperados,Flavored - Other,Lager - America,"['캐러멜 향', '허브향']","['데킬라맛', '단맛', '달콤함']",['맥아 풍미'],"['돼지고기 구이', '오리 구이', '연어 구이', '소시지', '케이준 생선', '흰색 육류', '스테이크', '고기', '훈제 생선', '햄버거', '토마토 파스타', '피자', '한국 요리', '파타타스 바라바스']","['미디움', '가벼움']",1.793935927,891
6,Egger Grapefruit Radler,Radler / Shandy,Craft - America,"['과일향', '단맛']","['낮은 알코올', '탄산수', '자몽맛']","['스파클링', '독특함']",['빵'],['탄산'],2.329787234,46
7,Egger Radler,Radler / Shandy,Craft - America,"['고소한 맥아향', '캐러멜향', '쿠키향', '홉 아로마 거의 없음']","['캐러멜', '달콤한 쿠기 풍미', '약간 쌉쌀함']","['맥아 풍미', '홉에 의한 밸런스 거의 없음']","['멕시코 요리', '매운 요리', '닭', '소시지', '마일드 치즈']",['미디엄'],1.721212121,33
8,Stella Artois,Pale Lager - International / Premium,Lager - Belgium,"['고소한 맥아향', '강한 향', '매운 향', '플로랄 홉향', '가벼운 향']","['쓴 맛', '상쾌함', '약간의 단맛', '맥아 풍미']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",2.540471513,3620
9,Hoegaarden,Wheat Ale,Wheat Beer - Belgium,"['과일향', '스파이시한 향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트']","['걸쭉', '드라이', '가벼움']",3.516466667,4549
10,Hoegaarden Rosee,Flavored - Fruit,Craft - America,"['과일향', '라즈베리향']","['과일 풍미', '시큼한 풍미', '크리미함', '달콤함']","['청량함', '드라이', '약간 달콤', '일정 수준의 신맛']","['샐러드', '가벼운 음식', '가벼운 디저트']","['라이트', '미디엄']",2.515,580
11,Budweiser,Pale Lager - American,Lager - America,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",1.537626031,4364
12,Patagonia Bohemian Pilsner,Pilsener / Plis / Pilsner,Pilsner - Czech,"['레몬향, 꽃향, 풀향, 꿀향']","['홉 향 다수', '시트러스', '약간의 빵 맛']","['쌉쌀한 끝맛', '크리스피', '쉬운 목넘김']","['샐러드', '육포', '해산물', '파인애플', '과일', '호두', '견과류']","['라이트', '미디엄']",2.877777778,73
13,Kronenbourg 1664 Blanc,Wheat Ale,Wheat Beer - Belgium,"['스파이시한 효모향', '오렌지', '고수', '과일향']","['드라이한 크림 풍미', '부드러움', '시큼한 끝맛', '사과맛']","['밀크셰이크 질감', '드라이', '약간 시큼함', '크리미']","['홍합', '연어', '닭', '가벼운 음식']","['드라이', '미디엄', '매우 크리미', '크리미']",2.79,960
14,Erdinger Weissbier,Weissbier - Hefeweizen,Wheat Beer - Germany,"['과일향', '스파이시한 향', '은은한 맥아향', '바나나향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이', '많은 탄산']",3.159152799,2644
15,Paulaner Hefe-Weissbier,Weissbier - Hefeweizen,Wheat Beer - Germany,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀', '샌드위치', '기름진 음식']","['걸쭉', '드라이']",3.602270081,3436
16,Paulaner Hefeweissbier Dunkel,Weissbier - Hefeweizen,Wheat Beer - Germany,['과일향' '스파이시한 향' '캐러멜향'],"['밀크셰이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '캐러멜', '달콤함', '초콜렛']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트']","['걸쭉', '드라이']",3.413980583,1030
17,Tiger Beer,Pale Lager - International / Premium,Larger - Singapore,"['고소한 맥아향', '강한 향', '달콤한 맥아향']","['쓴 맛', '상쾌함', '옥수수 단맛']","['미디엄', '홉에 의한 밸런스 거의 없음']","['생선 요리', '해산물', '샐러드', '아시아 음식']","['드라이', '깔끔함', '적당한 탄산']",2.153039954,1727
18,Guinness Draught,Stout - Dry / Irish,Irish Ale - Ireland,"['로스팅 보리향', '커피향', '홉 아로마 거의 없음', '약한 빵 향']","['쓴 맛', '약간 크리미', '초콜렛']","['매우 드라이', '청량함']","['스테이크', '고기 파이', '리치한 음식', '든든한 음식', '굴', '초콜릿']","['드라이', '가벼운 탄산화', '부드러움']",3.460638298,5640
19,Carlsberg Pilsner,Pilsener / Pils / Pilsner,Lager - Denmark,"['깔끔한 맥아향', '허브향', '민트향', '노블 홉향', '후추향']","['청량함', '매끄러운 맥아 풍미', '허브 풍미', '할러타우 홉', '견고한 쓴맛', '섬세함', '단맛']","['균형', '드라이', '비터', '깔끔한 끝맛']","['샐러드', '해산물 요리', '브라트부르스트', '가벼운 음식', '후추', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '저크 치킨', '아키도리']","['청량함', '드라이', '가벼움', '깔끔함']",2.266993088,1736
20,Heineken,Pale Lager - International / Premium,Lager - Netherland,"['고소한 맥아향', '강한 향', '가벼운 스컹스 향', '풀잎 향']","['쓴 맛', '상쾌함', '스컹크 풍미']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '탄산']",2.228131417,974
21,San Miguel,Pale Lager - International / Premium,Lager - Philippines,"['고소한 맥아향', '강한 향', '약한 향', '과일향']","['쓴 맛', '상쾌함', '보조 맥아 힌트', '사과 주스 맛']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산']",2.064810427,844
22,Tsingtao,Pale Lager - International / Premium,Lager - China,"['고소한 맥아향', '강한 향', '희미한 옥수수향']","['쓴 맛', '상쾌함', '가벼운 맥아 풍미', '옥수수 풍미', '약간의 쓴맛']",['미디엄'],"['생선 요리', '해산물', '샐러드', '매운 음식']","['드라이', '깔끔함', '가벼움', '가벼운 탄산']",2.058198198,2220
23,Tsingtao Draft Beer 11º (Pure Draft Beer),Weissbier - Hefeweizen,Ale - China,"['과일향', '스파이시한 향', '은은한 맥아향', '바나나 향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미', '단 맛']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이', '미디엄', '상쾌함']",1.937735849,106
24,Cass Fresh,Pale Lager - International / Premium,Lager - Korea,"['고소한 맥아향', '강한 향', '가벼운 향']","['쓴 맛', '상쾌함', '약간 단맛', '김치에 좋은 맥주']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",1.744982699,289
25,Hite Beer,Pale Lager - American,Lager - Korea,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함', '옅은 옥수수 향', '옅은 맥아향']","['미디엄', '단 맛']","['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",1.87544757,782
26,Kloud Original Gravity,Pale Lager - International / Premium,Lager - Korea,"['고소한 맥아향', '강한 향', '빵 향', '달콤한 향', '풀잎 향']","['쓴 맛', '상쾌함', '생강 힌트']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '탄산']",2.289215686,102
27,Terra,Pale Lager - International / Premium,Lager - Korea,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",1.68,5
28,Max Cream,Pale Lager - American,Lager - Korea,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함', '단 맛']",['미디엄'],"['생선 요리', '해산물', '샐러드', '매운 음식', '무거운 음식']","['드라이', '깔끔함', '탄산']",2.433333333,27
29,FiLite,Pale Lager - International / Premium,Lager - Korea,"['고소한 맥아향', '강한 향', '달콤한 맥아향', '풀잎향']","['쓴 맛', '상쾌함', '약한 단맛', '약한 떫은 맛']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",2.388888889,9
30,Jeju Wit Ale,Witbier / Korean White Ale,Ale - Korea,"['스파이시한 효모향', '오렌지', '고수', '순한 고수향', '밀 향']","['드라이한 크림 풍미', '부드러움', '시큼한 끝맛']","['밀크셰이크 질감', '드라이', '약간 시큼함']","['홍합', '연어', '닭', '가벼운 음식']","['드라이', '미디엄', '매우 크리미', '크리미']",3.005882353,17
31,Jeju Pellong Ale,Witbier / Belgian White Ale,Ale - Korea,"['스파이시한 효모향', '오렌지', '고수', '강한 향', '밀 향']","['드라이한 크림 풍미', '부드러움', '시큼한 끝맛']","['밀크셰이크 질감', '드라이', '약간 시큼함']","['홍합', '연어', '닭', '가벼운 음식']","['라이트', '미디엄']",2.9,2
32,Jeju Baengnokdam Ale,Witbier / Belgian White Ale,Ale - Korea,"['스파이시한 효모향', '달콤한 맥아향', '밀 향']","['곡물 풍미', '구운 풍미', '쌉쌀한 풍미', '부드러움']","['균형', '부드러움']","['샐러드', '해산물 요리', '치즈', '크림 리조또', '치킨']","['드라이', '미디엄', '매우 크리미', '크리미']",2.883333333,6
33,HiteJinro Isul Tok Tok,Radler / Shandy,Radler - Korea,"['과일향', '꽃향기', '자몽향']","['낮은 알코올', '탄산수', '자몽맛']","['부드러움', '크리스피', '독특함', '스파클링']","['닭고기 요리', '해산물', '피자', '샐러드']","['청량함', '라이트']",2.125,4
34,Kabrew Gyeongbokgung Royal Pride IPA,Session IPA,IPA - Korea,"['과일향', '시트러스향', '깔끔한 맥아향']","['홉의 풍미 많음', '달콤함', '고도의 탄산']","['균형', '부드러움']","['생선 요리', '해산물', '샐러드', '매운 음식']","['걸쭉', '드라이']",3.283333333,6
35,ARK Seoulite Ale,Pale Ale - American,Pale - Korea,"['고소한 맥아향', '커피 향', '캐러멜향', '강한 향']","['쓴 맛', '캐러멜', '약한 단맛', '구운 풍미']","['미디엄', '크리미']","['샐러드', '육포', '해산물', '파인애플', '과일', '호두', '견과류']","['드라이', '깔끔함']",3.01,10
36,Hop House 13 Lager,Pale Lager - International / Premium,Lager - Ireland,"['고소한 맥아향', '강한 향', '꽃향기', '달콤한 맥아향']","['쓴 맛', '상쾌함', '약한 단맛']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '풍부한 탄산']",2.898464912,456
37,Blue Moon Belgian White,Witbier / Belgian White Ale,Wheat Ale - America,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이']",3.01316092,3480
38,Volfas Engelman Pasaulio Skoniai IPA,Weissbier - Hefeweizen,IPA - Lithuania,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이']",2.901315789,76
39,Pilsner Urquell,Pilsener - Bohemian / Czech,Pilsner - Czech,"['깔끔한 맥아향', '사츠홉향','스파이시한 향','허브향', '약한 빵 향', '꽃향기']","['달콤한 맥아', '캐러멜', '사츠 홉의 풍미', '쌉쌀한 풍미', '쓴 맛', '섬세함', '단 맛', '빵 껍질']","['홉의 풍미', '쌉쌀한 끝맛']","['닭', '샐러드', '연어', '가벼운 음식', '알싸한 쓴 음식', '기름기 많은 생선', '톡 쏘는 치즈', '크림 리조또', '타파스', '저크 치킨', '야키도리']","['미디엄', '깔끔함', '탄산', '가벼움']",3.293575615,4265
40,Kozel Cerny (Dark) 10°,Dark Lager - Dunkel / Tmav?,Lager - Czech,"['맥아향', '초콜렛 향', '카라멜향']","['구운 풍미', '쌉쌀한 풍미', '섬세한', '캐러멜', '초콜릿', '빵 껍질', '달콤함', '단맛']","['균형', '부드러움']","['돼지고기 구이', '오리 구이', '연어 구이', '소시지', '케이준 생선', '흰색 육류', '스테이크', '고기', '훈제 생선', '햄버거', '토마토 파스타', '피자', '한국 요리', '파타타스 바라바스']","['가벼움', '미디움']",3.004273504,1053
41,Sapporo Premium Beer / Draft Beer,Pale Lager - International / Premium,Lager - Japan,"['고소한 맥아향', '강한 향', '풀잎 향', '쿠키향', '약한 스컹크 향']","['쓴 맛', '상쾌함']","['미디엄', '크리미']","['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산화']",2.276508275,1873
42,Kirin Ichiban,Pale Lager - International / Premium,Lager - Japan,"['고소한 맥아향', '강한 향', '가벼운 낱알 몰트 향']","['쓴 맛', '상쾌함', '맥아 풍미']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산']",2.226100307,1954
43,Suntory The Premium Malt's,Pale Lager - International / Premium,Lager - Japan,"['고소한 맥아향', '강한 향', '거친 맥아향']","['쓴 맛', '상쾌함']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산']",2.671428571,182
44,Sapporo Yebisu,Pale Lager - International / Premium,Lager - Japan,"['고소한 맥아향', '강한 향', '달콤한 맥아향']","['쓴 맛', '상쾌함', '약한 단맛']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산화']",2.492528736,348
45,Asahi Super Dry,Pale Lager - International / Premium,Lager - Japan,"['고소한 맥아향', '강한 향', '쌀 향', '풀잎 향']","['쓴 맛', '상쾌함', '쌀 풍미', '약간의 단맛', '약간의 쓴 맛']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '약간의 매끄러움']",2.193011564,1989
46,Kabrew Kumiho Peach Ale,Flavored - Fruit,Pale - Korea,"['과일향', '자몽향']","['낮은 알코올', '탄산수', '신맛']","['부드러움', '크리스피', '독특함', '스파클링']",['빵'],['탄산'],2.766666667,3
47,Cafri,Pale Lager - American,Lager - Korea,"['고소한 맥아향', '강한 향', '달콤한 맥아향', '꽃 향기']","['쓴 맛', '상쾌함', '단 맛', '옥수수 맛']","['미디엄', '크리미']","['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움']",1.6525,40
48,Beck's,Pale Lager - International / Premium,Pilsner - Germany,"['고소한 맥아향', '강한 향', '캐러멜향', '창백한 맥아향']","['쓴 맛', '상쾌함', '캐러멜']","['미디엄', '상쾌함']","['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적은 탄산']",2.354808089,2423
